Language Feature,Engine,Group,Supported?,Failed Test Cases,Total Test Cases,Deployable?
Multiple_IntermediateEvent_ThrowLastEventDefinition,camunda__7_1_0,events,0,1,1,0
Multiple_IntermediateThrowEvent,camunda__7_1_0,events,0,1,1,0
Multiple_Parallel_IntermediateEvent,camunda__7_1_0,events,0,1,1,0
Signal_BoundaryEvent_SubProcess_Interrupting,camunda__7_1_0,events,0,1,1,1
Signal_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_1_0,events,1,0,1,1
Signal_EndEvent,camunda__7_1_0,events,0,1,1,1
Signal_EndEvent_SubProcess,camunda__7_1_0,events,1,0,1,1
Signal_IntermediateEvent,camunda__7_1_0,events,1,0,1,1
Signal_IntermediateEvent_ThrowAndCatch,camunda__7_1_0,events,1,0,1,1
Signal_StartEvent,camunda__7_1_0,events,0,1,1,1
Signal_StartEvent_EventSubProcess_Interrupting,camunda__7_1_0,events,0,1,1,1
Signal_StartEvent_EventSubProcess_NonInterrupting,camunda__7_1_0,events,1,0,1,1
Terminate_Event,camunda__7_1_0,events,1,0,1,1
Timer_BoundaryEvent_SubProcess_Interrupting,camunda__7_1_0,events,1,0,1,1
Timer_BoundaryEvent_SubProcess_Interrupting_Activity,camunda__7_1_0,events,0,1,1,1
Timer_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_1_0,events,1,0,1,1
Timer_BoundaryEvent_SubProcess_TimeCycle,camunda__7_1_0,events,1,0,1,1
Timer_IntermediateEvent,camunda__7_1_0,events,1,0,1,1
Timer_IntermediateTimeCycleEvent,camunda__7_1_0,events,0,1,1,1
Timer_StartEvent_EventSubProcess_Interrupting,camunda__7_1_0,events,1,0,1,1
Timer_StartEvent_EventSubProcess_NonInterrupting,camunda__7_1_0,events,1,0,1,1
Timer_StartEvent_TimeCycle_EventSubProcess_NonInterrupting,camunda__7_1_0,events,0,1,1,1
ComplexGateway,camunda__7_1_0,gateways,0,4,4,0
EventBasedGateway_Signals,camunda__7_1_0,gateways,1,0,1,1
EventBasedGateway_Timer,camunda__7_1_0,gateways,1,0,1,1
ExclusiveDiverging_InclusiveConverging,camunda__7_1_0,gateways,1,0,3,1
ExclusiveGateway,camunda__7_1_0,gateways,1,0,4,1
ExclusiveGatewayMixed,camunda__7_1_0,gateways,1,0,3,1
ExclusiveGateway_Default,camunda__7_1_0,gateways,1,0,4,1
InclusiveDiverging_ExclusiveConverging,camunda__7_1_0,gateways,1,0,3,1
InclusiveGateway,camunda__7_1_0,gateways,1,0,4,1
InclusiveGateway_Default,camunda__7_1_0,gateways,1,0,1,1
ParallelDiverging_ExclusiveConverging,camunda__7_1_0,gateways,1,0,1,1
ParallelDiverging_InclusiveConverging,camunda__7_1_0,gateways,1,0,1,1
ParallelGateway,camunda__7_1_0,gateways,1,0,1,1
ParallelGateway_TrueParallelism,camunda__7_1_0,gateways,0,1,1,1
AdHocSubProcess_Sequential,camunda__7_2_0,activities,0,1,1,0
CallActivity_GlobalTask,camunda__7_2_0,activities,0,1,1,1
CallActivity_Process,camunda__7_2_0,activities,1,0,1,1
Loop_ConditionOnly,camunda__7_2_0,activities,0,2,3,1
Loop_Maximum,camunda__7_2_0,activities,0,1,1,1
Loop_NoIteration_TestBeforeFalse,camunda__7_2_0,activities,1,0,1,1
Loop_NoIteration_TestBeforeTrue,camunda__7_2_0,activities,0,1,1,1
Loop_SubProcess,camunda__7_2_0,activities,0,2,3,1
Loop_Task,camunda__7_2_0,activities,0,2,3,1
MultiInstance_AllBehavior,camunda__7_2_0,activities,1,0,1,1
MultiInstance_ComplexBehavior,camunda__7_2_0,activities,0,1,1,1
MultiInstance_NoneBehavior,camunda__7_2_0,activities,0,1,1,1
MultiInstance_OneBehavior,camunda__7_2_0,activities,0,1,1,1
MultiInstance_Parallel,camunda__7_2_0,activities,1,0,1,1
MultiInstance_Sequential,camunda__7_2_0,activities,1,0,1,1
MultiInstance_SubProcess,camunda__7_2_0,activities,1,0,1,1
MultiInstance_Task,camunda__7_2_0,activities,1,0,1,1
ReceiveTask,camunda__7_2_0,activities,0,1,1,1
ReceiveTask_Instantiate,camunda__7_2_0,activities,0,1,1,1
SendTask,camunda__7_2_0,activities,0,1,1,0
SubProcess,camunda__7_2_0,activities,1,0,1,1
Token_Cardinality_Default,camunda__7_2_0,activities,0,1,1,1
Token_Cardinality_Explicit,camunda__7_2_0,activities,0,1,1,1
Token_Cardinality_Split_Default,camunda__7_2_0,activities,1,0,1,1
Token_Cardinality_Split_Explicit,camunda__7_2_0,activities,0,1,1,1
Transaction,camunda__7_2_0,activities,1,0,1,1
Lanes,camunda__7_2_0,basics,1,0,1,1
Participant,camunda__7_2_0,basics,1,0,1,1
SequenceFlow,camunda__7_2_0,basics,1,0,1,1
SequenceFlow_Conditional,camunda__7_2_0,basics,1,0,2,1
SequenceFlow_ConditionalDefault,camunda__7_2_0,basics,1,0,2,1
SequenceFlow_ConditionalDefault_Normal,camunda__7_2_0,basics,0,1,1,1
WCP01_Sequence,camunda__7_2_0,cfpatterns,1,0,1,1
WCP02_ParallelSplit,camunda__7_2_0,cfpatterns,1,0,1,1
WCP03_Synchronization,camunda__7_2_0,cfpatterns,1,0,1,1
WCP04_ExclusiveChoice,camunda__7_2_0,cfpatterns,1,0,4,1
WCP05_SimpleMerge,camunda__7_2_0,cfpatterns,1,0,7,1
WCP06_MultiChoice_ComplexGateway,camunda__7_2_0,cfpatterns,0,7,7,0
WCP06_MultiChoice_Implicit,camunda__7_2_0,cfpatterns,1,0,7,1
WCP06_MultiChoice_InclusiveGateway,camunda__7_2_0,cfpatterns,1,0,7,1
WCP07_StructuredSynchronizingMerge,camunda__7_2_0,cfpatterns,1,0,3,1
WCP08_MultiMerge,camunda__7_2_0,cfpatterns,1,0,7,1
WCP09_Structured_Discriminator_ComplexGateway,camunda__7_2_0,cfpatterns,0,1,1,0
WCP09_Structured_Discriminator_MultiInstance,camunda__7_2_0,cfpatterns,0,1,1,1
WCP10_ArbitraryCycle,camunda__7_2_0,cfpatterns,0,3,3,1
WCP11_ImplicitTermination,camunda__7_2_0,cfpatterns,1,0,1,1
WCP12_MultipleInstancesWithoutSynchronization,camunda__7_2_0,cfpatterns,0,1,1,1
WCP13_MultipleInstancesWithAPrioriDesignTimeKnowledge,camunda__7_2_0,cfpatterns,1,0,1,1
WCP14_MultipleInstancesWithAPrioriRuntimeKnowledge,camunda__7_2_0,cfpatterns,1,0,1,1
WCP16_DeferredChoice,camunda__7_2_0,cfpatterns,0,1,2,1
WCP17_InterleavedParallelRouting,camunda__7_2_0,cfpatterns,0,1,1,0
WCP19_CancelTask,camunda__7_2_0,cfpatterns,1,0,1,1
WCP20_CancelCaseCancel,camunda__7_2_0,cfpatterns,1,0,1,1
WCP20_CancelCaseError,camunda__7_2_0,cfpatterns,1,0,1,1
WCP20_CancelCaseTerminate,camunda__7_2_0,cfpatterns,1,0,1,1
DataObject_ReadWrite_String,camunda__7_2_0,data,1,0,1,1
Property_ReadWrite_String,camunda__7_2_0,data,1,0,1,1
ExclusiveDiverging_ParallelConverging,camunda__7_2_0,errors,1,0,3,1
InclusiveDiverging_ParallelConverging,camunda__7_2_0,errors,1,0,3,1
LoopTask_NegativeLoopMaximum,camunda__7_2_0,errors,0,1,1,1
MultiInstanceTask_NegativeLoopCardinality,camunda__7_2_0,errors,1,0,1,1
Multiple_IntermediateEvent_MissingEvent,camunda__7_2_0,errors,0,1,1,0
Multiple_Parallel_IntermediateEvent_MissingEvent,camunda__7_2_0,errors,0,1,1,0
ParallelGateway_Conditions,camunda__7_2_0,errors,1,0,4,1
Token_CompletionQuantity_Zero,camunda__7_2_0,errors,0,1,1,1
Token_StartQuantity_Two,camunda__7_2_0,errors,0,1,1,1
Token_StartQuantity_Zero,camunda__7_2_0,errors,0,1,1,1
Cancel_Event,camunda__7_2_0,events,1,0,1,1
Compensation_BoundaryEvent_SubProcess,camunda__7_2_0,events,0,1,1,1
Compensation_EndEvent_SubProcess,camunda__7_2_0,events,0,1,1,1
Compensation_EndEvent_TopLevel,camunda__7_2_0,events,0,1,1,1
Compensation_IntermediateEvent,camunda__7_2_0,events,1,0,1,1
Compensation_StartEvent_EventSubProcess,camunda__7_2_0,events,0,1,1,0
Compensation_TriggeredByCancel,camunda__7_2_0,events,1,0,1,1
Conditional_BoundaryEvent_SubProcess_Interrupting,camunda__7_2_0,events,0,2,2,0
Conditional_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_2_0,events,0,2,2,0
Conditional_IntermediateEvent,camunda__7_2_0,events,0,2,2,0
Conditional_StartEvent_EventSubProcess_Interrupting,camunda__7_2_0,events,0,1,1,0
Conditional_StartEvent_EventSubProcess_NonInterrupting,camunda__7_2_0,events,0,1,1,0
Error_BoundaryEvent_SubProcess_Interrupting,camunda__7_2_0,events,1,0,1,1
Error_BoundaryEvent_Transaction_Interrupting,camunda__7_2_0,events,1,0,1,1
Error_EndEvent_TopLevel,camunda__7_2_0,events,1,0,1,1
Error_StartEvent_EventSubProcess_Interrupting,camunda__7_2_0,events,1,0,1,1
Escalation_BoundaryEvent_SubProcess_Interrupting,camunda__7_2_0,events,0,1,1,0
Escalation_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_2_0,events,0,1,1,0
Escalation_EndEvent_SubProcess,camunda__7_2_0,events,0,1,1,0
Escalation_EndEvent_TopLevel,camunda__7_2_0,events,0,1,1,1
Escalation_IntermediateThrowEvent,camunda__7_2_0,events,0,1,1,0
Escalation_StartEvent_EventSubProcess_Interrupting,camunda__7_2_0,events,0,1,1,0
Escalation_StartEvent_EventSubProcess_NonInterrupting,camunda__7_2_0,events,0,1,1,0
EventDefinitionRef_Error_EndEvent_TopLevel,camunda__7_2_0,events,0,1,1,1
EventDefinitionRef_Error_StartEvent_EventSubProcess_Interrupting,camunda__7_2_0,events,0,1,1,0
EventDefinitionRef_Signal_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_2_0,events,0,1,1,0
Link_Event,camunda__7_2_0,events,1,0,1,1
Message_EndEvent,camunda__7_2_0,events,0,1,1,1
Message_IntermediateEvent,camunda__7_2_0,events,0,1,1,1
Message_StartEvent,camunda__7_2_0,events,0,1,1,1
Multiple_IntermediateEvent_ThrowFirstEventDefinition,camunda__7_2_0,events,0,1,1,0
Multiple_IntermediateEvent_ThrowLastEventDefinition,camunda__7_2_0,events,0,1,1,0
Multiple_IntermediateThrowEvent,camunda__7_2_0,events,0,1,1,0
Multiple_Parallel_IntermediateEvent,camunda__7_2_0,events,0,1,1,0
Signal_BoundaryEvent_SubProcess_Interrupting,camunda__7_2_0,events,0,1,1,1
Signal_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_2_0,events,1,0,1,1
Signal_EndEvent,camunda__7_2_0,events,0,1,1,1
Signal_EndEvent_SubProcess,camunda__7_2_0,events,1,0,1,1
Signal_IntermediateEvent,camunda__7_2_0,events,1,0,1,1
Signal_IntermediateEvent_ThrowAndCatch,camunda__7_2_0,events,1,0,1,1
Signal_StartEvent,camunda__7_2_0,events,0,1,1,1
Signal_StartEvent_EventSubProcess_Interrupting,camunda__7_2_0,events,0,1,1,1
Signal_StartEvent_EventSubProcess_NonInterrupting,camunda__7_2_0,events,1,0,1,1
Terminate_Event,camunda__7_2_0,events,1,0,1,1
Timer_BoundaryEvent_SubProcess_Interrupting,camunda__7_2_0,events,1,0,1,1
Timer_BoundaryEvent_SubProcess_Interrupting_Activity,camunda__7_2_0,events,0,1,1,1
Timer_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_2_0,events,1,0,1,1
Timer_BoundaryEvent_SubProcess_TimeCycle,camunda__7_2_0,events,1,0,1,1
Timer_IntermediateEvent,camunda__7_2_0,events,1,0,1,1
Timer_IntermediateTimeCycleEvent,camunda__7_2_0,events,0,1,1,1
Timer_StartEvent_EventSubProcess_Interrupting,camunda__7_2_0,events,1,0,1,1
Timer_StartEvent_EventSubProcess_NonInterrupting,camunda__7_2_0,events,1,0,1,1
Timer_StartEvent_TimeCycle_EventSubProcess_NonInterrupting,camunda__7_2_0,events,0,1,1,1
ComplexGateway,camunda__7_2_0,gateways,0,4,4,0
EventBasedGateway_Signals,camunda__7_2_0,gateways,1,0,1,1
EventBasedGateway_Timer,camunda__7_2_0,gateways,1,0,1,1
ExclusiveDiverging_InclusiveConverging,camunda__7_2_0,gateways,1,0,3,1
ExclusiveGateway,camunda__7_2_0,gateways,1,0,4,1
ExclusiveGatewayMixed,camunda__7_2_0,gateways,1,0,3,1
ExclusiveGateway_Default,camunda__7_2_0,gateways,1,0,4,1
InclusiveDiverging_ExclusiveConverging,camunda__7_2_0,gateways,1,0,3,1
InclusiveGateway,camunda__7_2_0,gateways,1,0,4,1
InclusiveGateway_Default,camunda__7_2_0,gateways,1,0,1,1
ParallelDiverging_ExclusiveConverging,camunda__7_2_0,gateways,1,0,1,1
ParallelDiverging_InclusiveConverging,camunda__7_2_0,gateways,1,0,1,1
ParallelGateway,camunda__7_2_0,gateways,1,0,1,1
ParallelGateway_TrueParallelism,camunda__7_2_0,gateways,0,1,1,1
AdHocSubProcess_Sequential,camunda__7_3_0,activities,0,1,1,0
CallActivity_GlobalTask,camunda__7_3_0,activities,0,1,1,1
CallActivity_Process,camunda__7_3_0,activities,1,0,1,1
Loop_ConditionOnly,camunda__7_3_0,activities,0,2,3,1
Loop_Maximum,camunda__7_3_0,activities,0,1,1,1
Loop_NoIteration_TestBeforeFalse,camunda__7_3_0,activities,1,0,1,1
Loop_NoIteration_TestBeforeTrue,camunda__7_3_0,activities,0,1,1,1
Loop_SubProcess,camunda__7_3_0,activities,0,2,3,1
Loop_Task,camunda__7_3_0,activities,0,2,3,1
MultiInstance_AllBehavior,camunda__7_3_0,activities,1,0,1,1
MultiInstance_ComplexBehavior,camunda__7_3_0,activities,0,1,1,1
MultiInstance_NoneBehavior,camunda__7_3_0,activities,0,1,1,1
MultiInstance_OneBehavior,camunda__7_3_0,activities,0,1,1,1
MultiInstance_Parallel,camunda__7_3_0,activities,1,0,1,1
MultiInstance_Sequential,camunda__7_3_0,activities,1,0,1,1
MultiInstance_SubProcess,camunda__7_3_0,activities,1,0,1,1
MultiInstance_Task,camunda__7_3_0,activities,1,0,1,1
ReceiveTask,camunda__7_3_0,activities,0,1,1,1
ReceiveTask_Instantiate,camunda__7_3_0,activities,0,1,1,1
SendTask,camunda__7_3_0,activities,0,1,1,0
SubProcess,camunda__7_3_0,activities,1,0,1,1
Token_Cardinality_Default,camunda__7_3_0,activities,0,1,1,1
Token_Cardinality_Explicit,camunda__7_3_0,activities,0,1,1,1
Token_Cardinality_Split_Default,camunda__7_3_0,activities,1,0,1,1
Token_Cardinality_Split_Explicit,camunda__7_3_0,activities,0,1,1,1
Transaction,camunda__7_3_0,activities,1,0,1,1
Lanes,camunda__7_3_0,basics,1,0,1,1
Participant,camunda__7_3_0,basics,1,0,1,1
SequenceFlow,camunda__7_3_0,basics,1,0,1,1
SequenceFlow_Conditional,camunda__7_3_0,basics,1,0,2,1
SequenceFlow_ConditionalDefault,camunda__7_3_0,basics,1,0,2,1
SequenceFlow_ConditionalDefault_Normal,camunda__7_3_0,basics,0,1,1,1
WCP01_Sequence,camunda__7_3_0,cfpatterns,1,0,1,1
WCP02_ParallelSplit,camunda__7_3_0,cfpatterns,1,0,1,1
WCP03_Synchronization,camunda__7_3_0,cfpatterns,1,0,1,1
WCP04_ExclusiveChoice,camunda__7_3_0,cfpatterns,1,0,4,1
WCP05_SimpleMerge,camunda__7_3_0,cfpatterns,1,0,7,1
WCP06_MultiChoice_ComplexGateway,camunda__7_3_0,cfpatterns,0,7,7,0
WCP06_MultiChoice_Implicit,camunda__7_3_0,cfpatterns,1,0,7,1
WCP06_MultiChoice_InclusiveGateway,camunda__7_3_0,cfpatterns,1,0,7,1
WCP07_StructuredSynchronizingMerge,camunda__7_3_0,cfpatterns,1,0,3,1
WCP08_MultiMerge,camunda__7_3_0,cfpatterns,1,0,7,1
WCP09_Structured_Discriminator_ComplexGateway,camunda__7_3_0,cfpatterns,0,1,1,0
WCP09_Structured_Discriminator_MultiInstance,camunda__7_3_0,cfpatterns,0,1,1,1
WCP10_ArbitraryCycle,camunda__7_3_0,cfpatterns,0,3,3,1
WCP11_ImplicitTermination,camunda__7_3_0,cfpatterns,1,0,1,1
WCP12_MultipleInstancesWithoutSynchronization,camunda__7_3_0,cfpatterns,0,1,1,1
WCP13_MultipleInstancesWithAPrioriDesignTimeKnowledge,camunda__7_3_0,cfpatterns,1,0,1,1
WCP14_MultipleInstancesWithAPrioriRuntimeKnowledge,camunda__7_3_0,cfpatterns,1,0,1,1
WCP16_DeferredChoice,camunda__7_3_0,cfpatterns,0,2,2,1
WCP17_InterleavedParallelRouting,camunda__7_3_0,cfpatterns,0,1,1,0
WCP19_CancelTask,camunda__7_3_0,cfpatterns,1,0,1,1
WCP20_CancelCaseCancel,camunda__7_3_0,cfpatterns,1,0,1,1
WCP20_CancelCaseError,camunda__7_3_0,cfpatterns,1,0,1,1
WCP20_CancelCaseTerminate,camunda__7_3_0,cfpatterns,1,0,1,1
DataObject_ReadWrite_String,camunda__7_3_0,data,1,0,1,1
Property_ReadWrite_String,camunda__7_3_0,data,1,0,1,1
ExclusiveDiverging_ParallelConverging,camunda__7_3_0,errors,1,0,3,1
InclusiveDiverging_ParallelConverging,camunda__7_3_0,errors,1,0,3,1
LoopTask_NegativeLoopMaximum,camunda__7_3_0,errors,0,1,1,1
MultiInstanceTask_NegativeLoopCardinality,camunda__7_3_0,errors,1,0,1,1
Multiple_IntermediateEvent_MissingEvent,camunda__7_3_0,errors,0,1,1,0
Multiple_Parallel_IntermediateEvent_MissingEvent,camunda__7_3_0,errors,0,1,1,0
ParallelGateway_Conditions,camunda__7_3_0,errors,1,0,4,1
Token_CompletionQuantity_Zero,camunda__7_3_0,errors,0,1,1,1
Token_StartQuantity_Two,camunda__7_3_0,errors,0,1,1,1
Token_StartQuantity_Zero,camunda__7_3_0,errors,0,1,1,1
Cancel_Event,camunda__7_3_0,events,1,0,1,1
Compensation_BoundaryEvent_SubProcess,camunda__7_3_0,events,1,0,1,1
Compensation_EndEvent_SubProcess,camunda__7_3_0,events,0,1,1,1
Compensation_EndEvent_TopLevel,camunda__7_3_0,events,0,1,1,1
Compensation_IntermediateEvent,camunda__7_3_0,events,1,0,1,1
Compensation_StartEvent_EventSubProcess,camunda__7_3_0,events,0,1,1,0
Compensation_TriggeredByCancel,camunda__7_3_0,events,1,0,1,1
Conditional_BoundaryEvent_SubProcess_Interrupting,camunda__7_3_0,events,0,2,2,0
Conditional_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_3_0,events,0,2,2,0
Conditional_IntermediateEvent,camunda__7_3_0,events,0,2,2,0
Conditional_StartEvent_EventSubProcess_Interrupting,camunda__7_3_0,events,0,1,1,0
Conditional_StartEvent_EventSubProcess_NonInterrupting,camunda__7_3_0,events,0,1,1,0
Error_BoundaryEvent_SubProcess_Interrupting,camunda__7_3_0,events,1,0,1,1
Error_BoundaryEvent_Transaction_Interrupting,camunda__7_3_0,events,1,0,1,1
Error_EndEvent_TopLevel,camunda__7_3_0,events,1,0,1,1
Error_StartEvent_EventSubProcess_Interrupting,camunda__7_3_0,events,1,0,1,1
Escalation_BoundaryEvent_SubProcess_Interrupting,camunda__7_3_0,events,0,1,1,0
Escalation_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_3_0,events,0,1,1,0
Escalation_EndEvent_SubProcess,camunda__7_3_0,events,0,1,1,0
Escalation_EndEvent_TopLevel,camunda__7_3_0,events,0,1,1,1
Escalation_IntermediateThrowEvent,camunda__7_3_0,events,0,1,1,0
Escalation_StartEvent_EventSubProcess_Interrupting,camunda__7_3_0,events,0,1,1,0
Escalation_StartEvent_EventSubProcess_NonInterrupting,camunda__7_3_0,events,0,1,1,0
EventDefinitionRef_Error_EndEvent_TopLevel,camunda__7_3_0,events,0,1,1,1
EventDefinitionRef_Error_StartEvent_EventSubProcess_Interrupting,camunda__7_3_0,events,0,1,1,0
EventDefinitionRef_Signal_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_3_0,events,0,1,1,0
EventDefinitionRef_Timer_IntermediateEvent,camunda__7_3_0,events,0,1,1,0
Link_Event,camunda__7_3_0,events,1,0,1,1
Message_EndEvent,camunda__7_3_0,events,0,1,1,1
Message_IntermediateEvent,camunda__7_3_0,events,0,1,1,1
Message_StartEvent,camunda__7_3_0,events,0,1,1,1
Multiple_IntermediateEvent_ThrowFirstEventDefinition,camunda__7_3_0,events,0,1,1,0
Multiple_IntermediateEvent_ThrowLastEventDefinition,camunda__7_3_0,events,0,1,1,0
Multiple_IntermediateThrowEvent,camunda__7_3_0,events,0,1,1,0
Multiple_Parallel_IntermediateEvent,camunda__7_3_0,events,0,1,1,0
Signal_BoundaryEvent_SubProcess_Interrupting,camunda__7_3_0,events,0,1,1,1
Signal_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_3_0,events,1,0,1,1
Signal_EndEvent,camunda__7_3_0,events,0,1,1,1
Signal_EndEvent_SubProcess,camunda__7_3_0,events,1,0,1,1
Signal_IntermediateEvent,camunda__7_3_0,events,1,0,1,1
Signal_IntermediateEvent_ThrowAndCatch,camunda__7_3_0,events,1,0,1,1
Signal_StartEvent,camunda__7_3_0,events,0,1,1,1
Signal_StartEvent_EventSubProcess_Interrupting,camunda__7_3_0,events,1,0,1,1
Signal_StartEvent_EventSubProcess_NonInterrupting,camunda__7_3_0,events,1,0,1,1
Terminate_Event,camunda__7_3_0,events,1,0,1,1
Timer_BoundaryEvent_SubProcess_Interrupting,camunda__7_3_0,events,1,0,1,1
Timer_BoundaryEvent_SubProcess_Interrupting_Activity,camunda__7_3_0,events,0,1,1,1
Timer_BoundaryEvent_SubProcess_NonInterrupting,camunda__7_3_0,events,1,0,1,1
Timer_BoundaryEvent_SubProcess_TimeCycle,camunda__7_3_0,events,1,0,1,1
Timer_IntermediateEvent,camunda__7_3_0,events,1,0,1,1
Timer_IntermediateTimeCycleEvent,camunda__7_3_0,events,0,1,1,1
Timer_StartEvent_EventSubProcess_Interrupting,camunda__7_3_0,events,1,0,1,1
Timer_StartEvent_EventSubProcess_NonInterrupting,camunda__7_3_0,events,1,0,1,1
Timer_StartEvent_TimeCycle_EventSubProcess_NonInterrupting,camunda__7_3_0,events,0,1,1,1
ComplexGateway,camunda__7_3_0,gateways,0,4,4,0
EventBasedGateway_Signals,camunda__7_3_0,gateways,1,0,1,1
EventBasedGateway_Timer,camunda__7_3_0,gateways,1,0,1,1
ExclusiveDiverging_InclusiveConverging,camunda__7_3_0,gateways,1,0,3,1
ExclusiveGateway,camunda__7_3_0,gateways,1,0,4,1
ExclusiveGatewayMixed,camunda__7_3_0,gateways,1,0,3,1
ExclusiveGateway_Default,camunda__7_3_0,gateways,1,0,4,1
InclusiveDiverging_ExclusiveConverging,camunda__7_3_0,gateways,1,0,3,1
InclusiveGateway,camunda__7_3_0,gateways,1,0,4,1
InclusiveGateway_Default,camunda__7_3_0,gateways,1,0,1,1
ParallelDiverging_ExclusiveConverging,camunda__7_3_0,gateways,1,0,1,1
ParallelDiverging_InclusiveConverging,camunda__7_3_0,gateways,1,0,1,1
ParallelGateway,camunda__7_3_0,gateways,1,0,1,1
ParallelGateway_TrueParallelism,camunda__7_3_0,gateways,0,1,1,1
AdHocSubProcess_Sequential,jbpm__6_0_1,activities,0,1,1,1
CallActivity_GlobalTask,jbpm__6_0_1,activities,0,1,1,1
CallActivity_Process,jbpm__6_0_1,activities,1,0,1,1
Loop_ConditionOnly,jbpm__6_0_1,activities,0,2,3,1
Loop_Maximum,jbpm__6_0_1,activities,0,1,1,1
Loop_NoIteration_TestBeforeFalse,jbpm__6_0_1,activities,1,0,1,1
Loop_NoIteration_TestBeforeTrue,jbpm__6_0_1,activities,0,1,1,1
Loop_SubProcess,jbpm__6_0_1,activities,0,2,3,1
Loop_Task,jbpm__6_0_1,activities,0,2,3,1
MultiInstance_AllBehavior,jbpm__6_0_1,activities,0,1,1,0
MultiInstance_ComplexBehavior,jbpm__6_0_1,activities,0,1,1,0
MultiInstance_NoneBehavior,jbpm__6_0_1,activities,0,1,1,0
MultiInstance_OneBehavior,jbpm__6_0_1,activities,0,1,1,0
MultiInstance_Parallel,jbpm__6_0_1,activities,0,1,1,1
MultiInstance_Sequential,jbpm__6_0_1,activities,0,1,1,1
MultiInstance_SubProcess,jbpm__6_0_1,activities,0,1,1,0
MultiInstance_Task,jbpm__6_0_1,activities,0,1,1,1
ReceiveTask,jbpm__6_0_1,activities,0,1,1,1
ReceiveTask_Instantiate,jbpm__6_0_1,activities,0,1,1,0
SendTask,jbpm__6_0_1,activities,0,1,1,1
SubProcess,jbpm__6_0_1,activities,1,0,1,1
Token_Cardinality_Default,jbpm__6_0_1,activities,0,1,1,1
Token_Cardinality_Explicit,jbpm__6_0_1,activities,0,1,1,1
Token_Cardinality_Split_Default,jbpm__6_0_1,activities,0,1,1,0
Token_Cardinality_Split_Explicit,jbpm__6_0_1,activities,0,1,1,0
Transaction,jbpm__6_0_1,activities,1,0,1,1
Lanes,jbpm__6_0_1,basics,1,0,1,1
Participant,jbpm__6_0_1,basics,1,0,1,1
SequenceFlow,jbpm__6_0_1,basics,1,0,1,1
SequenceFlow_Conditional,jbpm__6_0_1,basics,0,2,2,0
SequenceFlow_ConditionalDefault,jbpm__6_0_1,basics,0,2,2,0
SequenceFlow_ConditionalDefault_Normal,jbpm__6_0_1,basics,0,1,1,0
WCP01_Sequence,jbpm__6_0_1,cfpatterns,1,0,1,1
WCP02_ParallelSplit,jbpm__6_0_1,cfpatterns,1,0,1,1
WCP03_Synchronization,jbpm__6_0_1,cfpatterns,1,0,1,1
WCP04_ExclusiveChoice,jbpm__6_0_1,cfpatterns,1,0,4,1
WCP05_SimpleMerge,jbpm__6_0_1,cfpatterns,1,0,7,1
WCP06_MultiChoice_ComplexGateway,jbpm__6_0_1,cfpatterns,0,7,7,0
WCP06_MultiChoice_Implicit,jbpm__6_0_1,cfpatterns,0,7,7,0
WCP06_MultiChoice_InclusiveGateway,jbpm__6_0_1,cfpatterns,0,1,7,1
WCP07_StructuredSynchronizingMerge,jbpm__6_0_1,cfpatterns,1,0,3,1
WCP08_MultiMerge,jbpm__6_0_1,cfpatterns,1,0,7,1
WCP09_Structured_Discriminator_ComplexGateway,jbpm__6_0_1,cfpatterns,0,1,1,0
WCP09_Structured_Discriminator_MultiInstance,jbpm__6_0_1,cfpatterns,0,1,1,0
WCP10_ArbitraryCycle,jbpm__6_0_1,cfpatterns,1,0,3,1
WCP11_ImplicitTermination,jbpm__6_0_1,cfpatterns,1,0,1,1
WCP12_MultipleInstancesWithoutSynchronization,jbpm__6_0_1,cfpatterns,0,1,1,0
WCP13_MultipleInstancesWithAPrioriDesignTimeKnowledge,jbpm__6_0_1,cfpatterns,0,1,1,0
WCP14_MultipleInstancesWithAPrioriRuntimeKnowledge,jbpm__6_0_1,cfpatterns,0,1,1,0
WCP16_DeferredChoice,jbpm__6_0_1,cfpatterns,1,0,2,1
WCP17_InterleavedParallelRouting,jbpm__6_0_1,cfpatterns,0,1,1,1
WCP19_CancelTask,jbpm__6_0_1,cfpatterns,0,1,1,0
WCP20_CancelCaseCancel,jbpm__6_0_1,cfpatterns,0,1,1,0
WCP20_CancelCaseError,jbpm__6_0_1,cfpatterns,1,0,1,1
WCP20_CancelCaseTerminate,jbpm__6_0_1,cfpatterns,1,0,1,1
DataObject_ReadWrite_String,jbpm__6_0_1,data,1,0,1,1
Property_ReadWrite_String,jbpm__6_0_1,data,1,0,1,1
ExclusiveDiverging_ParallelConverging,jbpm__6_0_1,errors,1,0,3,1
